Murkowski,Lisa,R,AK,3
Sullivan,Dan,R,AK,2
Jones,Doug,D,AL,2
Shelby,Richard,R,AL,3
Boozman,John,R,AR,3
Cottom,Tom,R,AR,2
McSally,Martha,R,AZ,3
Sinema,Kyrsten,D,AZ,1
Feinstein,Dianne,D,CA,1
Harris,Kamala,D,CA,3
Bennet,Michael,D,CO,3
Gardner,Cory,R,CO,2
Blumenthal,Richard,D,CT,3
Murphy,Christopher,D,CT,1
Carper,Thomas,D,DE,1
Coons,Christopher,D,DE,2
Rubio,Marco,R,FL,3
Scott,Rick,R,FL,1
Loeffler,Kelly,R,GA,3
Perdue,David,R,GA,2
Hirono,Mazie,D,HI,1
Schatz,Brian,D,Hi,3
Ernst,Joni,R,IA,2
Grassley,Chuck,R,IA,3
Crapo,Mike,R,ID,3
Risch,James,R,ID,2
Duckworth,Tammy,D,IL,3
Durbin,Richard,D,IL,2
Braun,Mike,R,IN,1
Young,Todd,R,IN,3
Moran,Jerry,R,KS,3
Roberts,Pat,R,KS,2
McConnell,Mitch,R,KY,2
Paul,Rand,R,KY,3
Cassidy,Bill,R,LA,2
Kennedy,John,R,LA,3
Markey,Edward,D,MA,2
Warren,Elizabeth,D,MA,1
Cardin,Benjamin,D,MD,1
Van Hollen,Christopher,D,MD,3
Collins,Susan,R,ME,2
King,Angus,I,ME,1
Peters,Gary,D,MI,2
Stabenow,Debbie,D,MI,1
Klobuchar,Amy,D,MN,1
Smith,Tina,D,MN,2
Blunt,Roy,R,MO,3
Hawley,Josh,R,MO,1
Hyde-Smith,Cindy,R,MS,2
Wicker,Roger,R,MS,1
Daines,Steve,R,MT,2
Tester,Joni,D,MT,1
Burr,Richard,R,NC,3
Tillis,Thom,R,NC,2
Cramer,Kevin,R,ND,1
Hoeven,John,R,ND,3
Fischer,Deb,R,NE,1
Sasse,Ben,R,NE,2
Hassan,Margaret,D,NH,3
Shaheen,Jeanne,D,NH,2
Booker,Cory,D,NJ,1
Menendez,Robert,D,NJ,1
Heinrich,Martin,D,NM,1
Udall,Tom,D,NM,2
Cortez Masto,Catherine,D,NV,3
Rosen,Jacky,D,NV,3
Gillibrand,Kirsten,D,NY,1
Schumer,Charles,D,NY,3
Brown,Sherrod,D,OH,1
Portman,Rob,R,OH,3
Inhofe,James,R,OK,2
Lankford,James,R,OK,3
Merkley,Jeff,D,OR,2
Wyden,Ron,D,OR,3
Casey,Robert,D,PA,1
Toomey,Patrick,R,PA,3
Reed,Jack,D,RI,2
Whitehouse,Sheldon,D,RI,1
Graham,Lindsey,R,SC,2
Scott,Tim,R,SC,3
Rounds,Mike,R,SD,2
Thune,John,R,SC,3
Alexander,Lamar,R,TN,2
Blackburn,Marsha,R,TN,1
Cornyn,John,R,TX,2
Cruz,Ted,R,TX,1
Lee,Mike,R,UT,3
Romney,Mitt,R,UT,1
Kaine,Tim,D,VA,1
Warner,Mark,D,VA,2
Leahy,Patrick,D,VT,3
Sanders,Bernie,D,VT,1
Cantwell,Maria,D,WA,1
Murray,Patty,D,WA,3
Balwdin,Tammy,D,WI,1
Johnson,Ron,R,WI,3
Capito,Shelley,R,WV,2
Manchin,Joe,D,WV,1
Barrasso,John,R,WY,1
Enzi,Michael,R,WY,2
